                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                 1.2462,                0.86041,                 1.4985,                0.90619,                0.90289,                0.94541,                0.64155,                  1.165,                0.72473,                 1.4476,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.2431,                0.84853,                 1.4975,                0.90487,                0.90438,                0.94337,                0.63886,                 1.1796,                0.71284,                 1.4425,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.2291,                0.84243,                  1.488,                0.89564,                0.90774,                0.94491,                0.64009,                  1.163,                0.71356,                  1.427,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.2234,                0.83731,                 1.4805,                0.90151,                0.90895,                0.94773,                0.63737,                 1.1628,                0.69665,                 1.4251,              0.0010729,              0.0010729,              0.0010729
                     20,                  1.208,                0.81226,                 1.4658,                 0.9079,                0.91191,                0.94941,                0.64602,                 1.1594,                0.68991,                  1.428,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.2162,                0.81907,                 1.4722,                0.90499,                0.90216,                0.94796,                0.65267,                 1.1385,                0.68589,                 1.3972,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.1951,                0.79974,                 1.4555,                0.89893,                0.91475,                   0.95,                0.65624,                 1.1245,                0.68162,                 1.4054,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.1954,                0.79816,                 1.4534,                0.89994,                0.91924,                0.95118,                0.65585,                 1.1195,                0.67416,                 1.3862,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.1803,                 0.7856,                 1.4428,                0.91051,                 0.9168,                0.95337,                0.66185,                 1.1175,                0.66636,                 1.3854,             0.00090785,             0.00090785,             0.00090785
                     25,                   1.18,                0.77395,                 1.4412,                0.90714,                0.92751,                0.95442,                0.66047,                 1.1247,                0.65468,                 1.3951,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.1677,                0.76914,                 1.4358,                0.90399,                0.91837,                0.95154,                0.66021,                 1.1113,                0.65943,                 1.3884,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.1637,                0.76539,                 1.4296,                0.91648,                0.92512,                0.95999,                0.67094,                 1.1093,                0.63516,                 1.3763,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.1599,                0.75845,                 1.4298,                0.91645,                0.91624,                0.95569,                 0.6713,                 1.0908,                0.64419,                 1.3688,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.1506,                0.75642,                 1.4216,                 0.9135,                0.91756,                0.95775,                0.67568,                 1.0893,                0.64308,                 1.3616,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.1472,                  0.755,                 1.4131,                0.92273,                0.91761,                0.96023,                0.67559,                  1.092,                0.63262,                 1.3516,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.1381,                0.73927,                 1.4056,                0.91832,                0.92365,                0.95975,                0.67394,                 1.0875,                0.62808,                 1.3612,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.1398,                0.72797,                 1.4078,                0.91651,                0.92833,                0.96056,                0.67764,                  1.081,                0.62565,                  1.351,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.1308,                0.73048,                 1.4026,                0.90968,                0.92751,                0.95971,                0.68153,                 1.0735,                 0.6105,                 1.3498,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.1247,                0.72083,                 1.3969,                0.92475,                0.92201,                0.96171,                0.68475,                 1.0739,                0.60071,                  1.342,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.1142,                0.71903,                 1.3877,                0.92203,                0.92828,                0.96296,                0.68517,                 1.0737,                0.60024,                 1.3417,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.1147,                0.70535,                 1.3864,                0.92384,                0.92111,                0.96127,                0.68397,                 1.0686,                0.60325,                 1.3327,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.1057,                0.70085,                 1.3804,                0.91999,                0.92389,                0.96286,                0.68478,                 1.0739,                0.59978,                 1.3413,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.1007,                0.69168,                 1.3767,                0.91816,                0.93019,                0.96482,                0.68929,                 1.0647,                 0.5956,                 1.3286,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.0963,                0.68591,                 1.3763,                0.92629,                 0.9261,                0.96395,                0.68874,                 1.0651,                0.59039,                 1.3391,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.0937,                0.68599,                  1.374,                0.92972,                0.92515,                0.96462,                0.69232,                 1.0603,                0.58369,                 1.3288,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.0432,                 0.5784,                 1.3273,                0.91753,                0.92645,                0.96331,                 0.6916,                 1.0636,                0.58841,                 1.3359,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.0328,                0.56689,                  1.319,                0.92431,                0.92573,                0.96435,                 0.6908,                 1.0606,                0.58849,                  1.339,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.0247,                0.55928,                 1.3124,                0.92434,                0.92719,                0.96531,                0.69353,                  1.059,                0.58467,                 1.3321,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.0127,                0.55534,                 1.3013,                0.92454,                0.92775,                0.96589,                0.69632,                 1.0521,                0.57879,                  1.324,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.0049,                0.54682,                 1.2957,                0.92618,                0.93353,                0.96738,                0.69746,                 1.0569,                0.57439,                 1.3255,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.0002,                0.54257,                 1.2924,                0.92768,                0.93263,                0.96719,                0.69559,                 1.0563,                0.57335,                 1.3275,              0.0001817,              0.0001817,              0.0001817
                     47,                0.98914,                0.53345,                 1.2865,                0.92859,                0.93145,                0.96651,                0.69743,                 1.0552,                0.56943,                 1.3258,              0.0001487,              0.0001487,              0.0001487
                     48,                0.98151,                0.53005,                 1.2795,                0.92767,                0.93178,                0.96689,                 0.6985,                   1.05,                0.56959,                 1.3201,             0.00011569,             0.00011569,             0.00011569
                     49,                0.97939,                0.52277,                 1.2756,                 0.9278,                0.93581,                0.96748,                0.69794,                  1.052,                0.56621,                 1.3231,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.97449,                 0.5181,                 1.2709,                0.92929,                 0.9337,                 0.9679,                0.69886,                 1.0538,                 0.5651,                  1.324,             4.9677e-05,             4.9677e-05,             4.9677e-05
