                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4178,                 2.6448,                 2.9132,                0.66834,                0.72938,                0.71069,                0.30912,                 1.9145,                  1.706,                 2.1689,             0.00055485,             0.00055485,             0.00055485
                      2,                 1.7707,                 1.5723,                 2.0092,                0.76703,                0.77039,                0.81787,                0.45613,                 1.5564,                  1.424,                 1.8219,              0.0010885,              0.0010885,              0.0010885
                      3,                 1.6277,                 1.3477,                 1.8514,                0.80938,                0.82219,                0.85118,                0.47708,                 1.5658,                  1.192,                 1.8063,              0.0016002,              0.0016002,              0.0016002
                      4,                 1.5475,                 1.2318,                 1.7676,                0.81333,                 0.8186,                0.84421,                 0.4912,                  1.433,                 1.2017,                 1.7193,               0.001568,               0.001568,               0.001568
                      5,                  1.479,                 1.1379,                 1.7068,                0.80619,                0.84085,                0.86165,                0.52102,                  1.393,                 1.0407,                 1.6468,               0.001535,               0.001535,               0.001535
                      6,                 1.4333,                 1.0928,                 1.6647,                0.85296,                0.84703,                0.90031,                0.53145,                 1.4393,                0.94101,                 1.6488,               0.001502,               0.001502,               0.001502
                      7,                   1.41,                 1.0471,                 1.6427,                 0.8549,                0.86507,                0.90315,                0.55387,                 1.3693,                 0.9384,                 1.6034,               0.001469,               0.001469,               0.001469
                      8,                 1.3812,                  1.016,                 1.6202,                  0.851,                0.86051,                0.90248,                0.56047,                 1.3338,                0.94521,                 1.6011,               0.001436,               0.001436,               0.001436
                      9,                 1.3575,                0.98813,                 1.6017,                0.86211,                0.87955,                0.90746,                0.57875,                 1.2869,                0.86659,                 1.5477,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.3408,                0.96044,                 1.5806,                0.86198,                 0.8835,                 0.9184,                0.59931,                 1.2512,                0.81331,                 1.4994,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.3181,                0.93559,                 1.5606,                0.88213,                0.88595,                0.92488,                0.59459,                 1.2789,                0.82312,                  1.548,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.3076,                0.92634,                 1.5555,                0.87426,                0.89044,                0.93055,                0.60944,                 1.2231,                0.81363,                 1.4829,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.2927,                0.90987,                 1.5387,                0.87289,                0.89599,                0.92822,                0.60545,                 1.2488,                 0.7996,                 1.4984,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.2688,                0.89357,                 1.5253,                0.89424,                0.88637,                0.93561,                0.62205,                 1.1875,                0.79186,                 1.4611,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.2647,                0.87702,                 1.5179,                 0.8824,                0.88659,                0.92386,                0.60738,                 1.2281,                0.77493,                   1.48,              0.0012049,              0.0012049,              0.0012049
