                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0926,                0.70907,                 1.3976,                 0.9207,                0.94046,                0.96819,                0.69072,                 1.0684,                0.58996,                 1.3551,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.0976,                0.69854,                 1.3998,                0.91695,                0.93806,                0.96661,                0.69477,                 1.0715,                 0.5861,                  1.349,             0.00051177,             0.00051177,             0.00051177
                     37,                  1.089,                0.69031,                 1.3924,                0.92733,                0.93435,                0.96891,                0.69568,                 1.0646,                0.58675,                 1.3498,             0.00047876,             0.00047876,             0.00047876
                     38,                  1.084,                0.68253,                 1.3897,                0.92373,                0.93935,                0.97015,                0.69812,                 1.0648,                0.57859,                 1.3477,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.0772,                0.67686,                 1.3866,                0.92851,                0.93062,                0.96932,                0.69728,                 1.0642,                0.57769,                 1.3516,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.0767,                0.67628,                 1.3821,                0.92538,                0.94105,                0.96931,                0.70161,                  1.059,                0.57487,                 1.3403,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.0223,                0.56408,                 1.3235,                 0.9284,                0.93597,                0.96987,                0.69816,                 1.0615,                0.58054,                 1.3478,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.0096,                0.55327,                 1.3176,                0.93278,                0.93887,                0.97161,                0.70067,                 1.0615,                0.57571,                 1.3516,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.0012,                0.55091,                 1.3128,                0.92768,                0.93676,                0.97057,                0.70402,                 1.0511,                0.57254,                 1.3458,             0.00028072,             0.00028072,             0.00028072
                     44,                0.98877,                0.54516,                 1.3053,                 0.9339,                0.93332,                0.97083,                0.70252,                 1.0532,                0.57518,                 1.3472,             0.00024772,             0.00024772,             0.00024772
                     45,                0.98412,                0.53699,                 1.3001,                0.93832,                0.92952,                0.97118,                0.70459,                 1.0518,                0.56975,                 1.3443,             0.00021471,             0.00021471,             0.00021471
                     46,                0.97737,                0.53475,                 1.2934,                0.92958,                 0.9346,                0.97041,                0.70573,                 1.0487,                0.56668,                 1.3411,              0.0001817,              0.0001817,              0.0001817
                     47,                0.96857,                0.52444,                 1.2869,                0.93064,                0.93875,                 0.9722,                0.70611,                 1.0502,                0.56293,                 1.3391,              0.0001487,              0.0001487,              0.0001487
                     48,                0.96322,                0.52133,                 1.2798,                0.93282,                0.93402,                0.97129,                0.70715,                 1.0478,                0.56235,                 1.3337,             0.00011569,             0.00011569,             0.00011569
                     49,                0.95948,                0.51696,                 1.2768,                0.92609,                0.94201,                0.97132,                0.70699,                 1.0477,                 0.5595,                 1.3349,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.95624,                0.51242,                 1.2727,                0.93125,                0.93768,                0.97125,                0.70748,                 1.0489,                0.55802,                 1.3365,             4.9677e-05,             4.9677e-05,             4.9677e-05
