                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.5019,2.0214,1.4585,0.84467,0.85309,0.88097,0.54047,1.2993,1.3208,1.3442,0.0033284,0.0033284,0.0033284
2,1.3493,1.2784,1.3218,0.88205,0.83997,0.90049,0.5556,1.3029,1.0456,1.3431,0.0065958,0.0065958,0.0065958
3,1.365,1.1291,1.3391,0.8829,0.85477,0.90873,0.54902,1.3627,1.0121,1.369,0.0097972,0.0097972,0.0097972
4,1.3717,1.0672,1.3518,0.87467,0.83034,0.8857,0.54174,1.4073,0.915,1.3998,0.009703,0.009703,0.009703
5,1.3358,0.98386,1.3283,0.8465,0.84794,0.89872,0.54815,1.3374,0.94048,1.3805,0.009604,0.009604,0.009604
6,1.2997,0.93486,1.3098,0.86584,0.86957,0.92105,0.58718,1.2663,0.83305,1.3075,0.009505,0.009505,0.009505
7,1.2832,0.90533,1.3014,0.88453,0.87423,0.91942,0.59433,1.2346,0.80525,1.2982,0.009406,0.009406,0.009406
8,1.2613,0.88172,1.286,0.87875,0.8883,0.92009,0.60064,1.2352,0.80501,1.3088,0.009307,0.009307,0.009307
9,1.2537,0.85777,1.2849,0.90979,0.91093,0.95079,0.63088,1.1906,0.72359,1.2602,0.009208,0.009208,0.009208
10,1.2344,0.8399,1.274,0.89167,0.90702,0.94507,0.63455,1.1785,0.72314,1.2572,0.009109,0.009109,0.009109
11,1.2197,0.83065,1.2633,0.89171,0.90481,0.94412,0.63949,1.1695,0.72104,1.2453,0.00901,0.00901,0.00901
12,1.217,0.82367,1.267,0.89316,0.90514,0.94533,0.64753,1.1388,0.70675,1.2333,0.008911,0.008911,0.008911
13,1.2051,0.80989,1.2562,0.90177,0.9134,0.94428,0.6473,1.1657,0.70566,1.251,0.008812,0.008812,0.008812
14,1.1884,0.79543,1.2489,0.90082,0.90784,0.94888,0.63918,1.1561,0.69336,1.2431,0.008713,0.008713,0.008713
15,1.1856,0.78657,1.2494,0.89977,0.91654,0.94903,0.64426,1.1445,0.67111,1.23,0.008614,0.008614,0.008614
16,1.1745,0.77957,1.2411,0.91543,0.92599,0.95998,0.66522,1.1243,0.65177,1.215,0.008515,0.008515,0.008515
17,1.1719,0.76596,1.2407,0.91163,0.92138,0.95975,0.66611,1.1055,0.63405,1.2092,0.008416,0.008416,0.008416
18,1.1602,0.76102,1.2313,0.91064,0.90732,0.95499,0.66277,1.1103,0.6459,1.2099,0.008317,0.008317,0.008317
19,1.1606,0.75907,1.2304,0.9074,0.91247,0.95344,0.65646,1.1254,0.64365,1.2172,0.008218,0.008218,0.008218
20,1.1426,0.74209,1.2168,0.91977,0.9236,0.96296,0.66755,1.1165,0.61788,1.2134,0.008119,0.008119,0.008119
21,1.1565,0.75042,1.2225,0.91967,0.91955,0.96233,0.67765,1.0883,0.62667,1.1955,0.00802,0.00802,0.00802
22,1.1378,0.73615,1.2191,0.92092,0.92519,0.9651,0.67488,1.0927,0.61635,1.1971,0.007921,0.007921,0.007921
23,1.1428,0.73347,1.2161,0.92108,0.92271,0.96088,0.67534,1.0957,0.61053,1.198,0.007822,0.007822,0.007822
24,1.1299,0.72745,1.2129,0.91997,0.92667,0.96507,0.6815,1.0758,0.60382,1.1927,0.007723,0.007723,0.007723
