                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
25,1.129,0.71887,1.2115,0.92998,0.9209,0.96346,0.68184,1.0887,0.5968,1.1991,0.007624,0.007624,0.007624
26,1.1194,0.71251,1.2096,0.91831,0.92969,0.96352,0.68191,1.0891,0.6046,1.1986,0.007525,0.007525,0.007525
27,1.1191,0.71233,1.2024,0.93084,0.93213,0.97011,0.6911,1.0775,0.57482,1.1895,0.007426,0.007426,0.007426
28,1.1202,0.71084,1.2075,0.9274,0.92743,0.96513,0.68705,1.0698,0.5904,1.1919,0.007327,0.007327,0.007327
29,1.1133,0.70522,1.203,0.92249,0.93992,0.96922,0.69189,1.0584,0.57339,1.1783,0.007228,0.007228,0.007228
30,1.1038,0.70509,1.1972,0.92691,0.93923,0.97002,0.69395,1.054,0.57823,1.1696,0.007129,0.007129,0.007129
31,1.1043,0.6947,1.1929,0.92728,0.93753,0.96978,0.69471,1.0615,0.57113,1.1802,0.00703,0.00703,0.00703
32,1.1053,0.69075,1.1984,0.92725,0.94441,0.97197,0.69721,1.0521,0.56918,1.1721,0.006931,0.006931,0.006931
33,1.0989,0.69644,1.194,0.92649,0.93762,0.96839,0.69946,1.0507,0.57189,1.1731,0.006832,0.006832,0.006832
34,1.0924,0.69024,1.1897,0.92956,0.93786,0.97061,0.69988,1.0448,0.56512,1.1715,0.006733,0.006733,0.006733
35,1.0896,0.69286,1.1883,0.92723,0.93309,0.96991,0.69906,1.048,0.55462,1.1704,0.006634,0.006634,0.006634
36,1.0903,0.67918,1.1867,0.91784,0.93919,0.96982,0.70208,1.0359,0.56103,1.163,0.006535,0.006535,0.006535
37,1.0835,0.67722,1.1815,0.92814,0.93624,0.96946,0.70276,1.0395,0.55758,1.1688,0.006436,0.006436,0.006436
38,1.0788,0.67153,1.1794,0.93667,0.92774,0.97113,0.70257,1.0337,0.55768,1.1637,0.006337,0.006337,0.006337
39,1.077,0.66937,1.1797,0.92859,0.93142,0.97035,0.70127,1.0467,0.55271,1.1712,0.006238,0.006238,0.006238
40,1.0805,0.66708,1.1805,0.93141,0.94092,0.97204,0.70542,1.0327,0.54603,1.1601,0.006139,0.006139,0.006139
41,1.0746,0.66434,1.1786,0.93319,0.93838,0.97144,0.70547,1.0336,0.54611,1.1635,0.00604,0.00604,0.00604
42,1.0713,0.66467,1.1757,0.92789,0.94352,0.97204,0.70869,1.0266,0.54289,1.1582,0.005941,0.005941,0.005941
43,1.0709,0.65569,1.1741,0.92798,0.94368,0.9721,0.70974,1.0284,0.53569,1.1581,0.005842,0.005842,0.005842
44,1.0275,0.6181,1.1547,0.93319,0.93274,0.96815,0.68889,1.0822,0.56159,1.1943,0.00055485,0.00055485,0.00055485
45,1.0661,0.65959,1.1799,0.92265,0.93113,0.96434,0.68247,1.0819,0.58742,1.2,0.00095346,0.00095346,0.00095346
46,1.0757,0.66847,1.1892,0.91441,0.92403,0.9587,0.67209,1.1055,0.62665,1.2127,0.0011949,0.0011949,0.0011949
47,1.0724,0.66771,1.1857,0.92251,0.92421,0.96077,0.687,1.0832,0.5767,1.1987,0.00095972,0.00095972,0.00095972
48,1.048,0.64092,1.1695,0.92533,0.93608,0.96833,0.69239,1.0733,0.57809,1.1892,0.00072395,0.00072395,0.00072395
49,1.0202,0.61919,1.1544,0.92981,0.94136,0.97052,0.70377,1.0499,0.54479,1.1757,0.00048819,0.00048819,0.00048819
50,1.0048,0.60088,1.1448,0.93771,0.94011,0.97276,0.70738,1.0309,0.53011,1.1623,0.00025243,0.00025243,0.00025243
