epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.1691,2.08377,2.95675,1.59948,0.68906,0.07542,0.07859,0.03559,1.85487,3.21805,1.53659,0.000544327,0.000544327,0.000544327
2,104.085,1.85206,2.03254,1.47435,0.48794,0.47317,0.43871,0.18337,1.88104,2.26059,1.51836,0.0010891,0.0010891,0.0010891
3,129.799,1.84143,1.86429,1.47941,0.57084,0.49074,0.49286,0.20149,1.89787,2.27384,1.64762,0.00162288,0.00162288,0.00162288
4,154.526,1.82354,1.78511,1.4469,0.57509,0.52513,0.54116,0.24524,1.83676,2.08456,1.53412,0.00161749,0.00161749,0.00161749
5,182.519,1.802,1.66266,1.45085,0.61687,0.5676,0.5839,0.26599,1.76321,2.30305,1.48724,0.00160099,0.00160099,0.00160099
6,206.578,1.78531,1.60824,1.41111,0.55514,0.51361,0.5175,0.21893,1.95136,1.66797,1.53907,0.00158448,0.00158448,0.00158448
7,230.827,1.73805,1.55849,1.4111,0.61727,0.59371,0.6208,0.29482,1.75694,1.47528,1.46697,0.00156798,0.00156798,0.00156798
8,258.673,1.72601,1.47364,1.38434,0.6695,0.61025,0.66709,0.31169,1.73204,1.36642,1.42245,0.00155148,0.00155148,0.00155148
9,283.258,1.70805,1.45719,1.39696,0.63589,0.63857,0.65708,0.31043,1.76998,1.40551,1.44823,0.00153497,0.00153497,0.00153497
10,308.473,1.70283,1.41562,1.38857,0.66232,0.61433,0.66228,0.31649,1.67925,1.4736,1.4032,0.00151847,0.00151847,0.00151847
11,335.191,1.72274,1.40254,1.37811,0.68221,0.61914,0.66851,0.32865,1.68854,1.49991,1.43516,0.00150197,0.00150197,0.00150197
12,359.592,1.64609,1.32435,1.33586,0.64075,0.57214,0.6089,0.28782,1.7369,1.75403,1.45051,0.00148546,0.00148546,0.00148546
13,386.62,1.63487,1.31543,1.34877,0.69358,0.63791,0.69591,0.34352,1.64228,1.27725,1.37214,0.00146896,0.00146896,0.00146896
14,410.824,1.67476,1.32933,1.36618,0.66853,0.6248,0.68559,0.3279,1.69475,1.34462,1.41083,0.00145246,0.00145246,0.00145246
15,435.61,1.63867,1.28739,1.35736,0.71342,0.65739,0.71354,0.35445,1.66075,1.29175,1.39865,0.00143595,0.00143595,0.00143595
16,463.726,1.63473,1.29935,1.33561,0.70809,0.6465,0.71895,0.36071,1.63862,1.26489,1.37986,0.00141945,0.00141945,0.00141945
17,488.042,1.60021,1.26554,1.33671,0.68888,0.64668,0.70809,0.34334,1.69732,1.29204,1.37927,0.00140295,0.00140295,0.00140295
18,516.057,1.63549,1.2693,1.32523,0.69569,0.63373,0.69762,0.34467,1.65129,1.39192,1.38821,0.00138644,0.00138644,0.00138644
19,541.53,1.59527,1.20292,1.29676,0.70698,0.65672,0.72325,0.3663,1.63727,1.27293,1.34712,0.00136994,0.00136994,0.00136994
20,566.237,1.60994,1.24006,1.3047,0.70319,0.68437,0.73475,0.37015,1.62397,1.20792,1.35527,0.00135344,0.00135344,0.00135344
21,593.472,1.61868,1.23363,1.31183,0.73457,0.65763,0.72687,0.38169,1.59234,1.21881,1.33512,0.00133693,0.00133693,0.00133693
22,617.379,1.57997,1.20748,1.29959,0.72269,0.69754,0.75501,0.38966,1.59524,1.1591,1.32724,0.00132043,0.00132043,0.00132043
23,642.288,1.6011,1.19981,1.30787,0.70096,0.67942,0.7393,0.38066,1.58368,1.19967,1.34575,0.00130393,0.00130393,0.00130393
24,669.368,1.59633,1.22251,1.30811,0.7105,0.67683,0.72723,0.36647,1.56919,1.2346,1.32484,0.00128742,0.00128742,0.00128742
25,692.88,1.55654,1.16382,1.28221,0.73328,0.66425,0.73781,0.38001,1.5789,1.19816,1.33624,0.00127092,0.00127092,0.00127092
26,717.878,1.5328,1.14334,1.26141,0.7201,0.68509,0.74847,0.37729,1.58544,1.13456,1.32194,0.00125442,0.00125442,0.00125442
27,744.778,1.56117,1.15928,1.28564,0.72702,0.69582,0.75368,0.39164,1.5706,1.19302,1.31953,0.00123791,0.00123791,0.00123791
28,768.562,1.54548,1.10934,1.27422,0.75113,0.68963,0.75349,0.3925,1.57115,1.20417,1.32133,0.00122141,0.00122141,0.00122141
29,793.997,1.55163,1.10093,1.27905,0.75918,0.68219,0.75782,0.39201,1.5868,1.12868,1.32784,0.00120491,0.00120491,0.00120491
30,820.326,1.52168,1.11026,1.2631,0.766,0.69146,0.77366,0.40839,1.54794,1.12299,1.31195,0.0011884,0.0011884,0.0011884
31,844.071,1.54232,1.11763,1.27427,0.75984,0.68105,0.75974,0.39549,1.57033,1.12821,1.34478,0.0011719,0.0011719,0.0011719
32,868.844,1.55559,1.12148,1.27895,0.7176,0.71557,0.75441,0.37946,1.64027,1.13675,1.36748,0.0011554,0.0011554,0.0011554
