epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2357,3.67139,4.73661,3.93898,0.01559,0.19058,0.00851,0.00263,2.96264,34.1752,3.90551,0.000554238,0.000554238,0.000554238
2,109.78,3.19455,3.97601,3.13552,0.15971,0.10846,0.07219,0.02221,2.56658,4.00812,2.57032,0.00108793,0.00108793,0.00108793
3,160.514,2.96355,3.46123,2.80506,0.13697,0.17995,0.07949,0.0243,2.52246,3.55299,2.47742,0.00159961,0.00159961,0.00159961
4,211.236,2.87793,3.22804,2.63115,0.11122,0.18733,0.06836,0.02021,2.45278,3.42854,2.49063,0.00156798,0.00156798,0.00156798
5,260.786,2.77714,3.05461,2.51028,0.2375,0.25008,0.14374,0.04454,2.35594,2.71213,2.23502,0.00153497,0.00153497,0.00153497
6,310.066,2.63973,2.86142,2.45436,0.18425,0.27276,0.12399,0.04539,2.219,2.79675,2.17916,0.00150197,0.00150197,0.00150197
7,361.991,2.54874,2.74452,2.36941,0.28759,0.31251,0.2269,0.08411,2.15736,2.68346,2.08594,0.00146896,0.00146896,0.00146896
8,412.188,2.50443,2.53398,2.29845,0.27876,0.3062,0.23624,0.07877,2.20825,2.28533,2.12278,0.00143595,0.00143595,0.00143595
9,462.173,2.4685,2.60357,2.29247,0.37847,0.33883,0.29385,0.10849,2.1227,3.13518,2.04546,0.00140295,0.00140295,0.00140295
10,511.224,2.4285,2.50026,2.21752,0.40189,0.35303,0.32811,0.12568,2.03524,3.06998,1.94953,0.00136994,0.00136994,0.00136994
11,560.314,2.37315,2.46224,2.18728,0.42246,0.38697,0.35973,0.14057,1.98354,2.37005,1.93213,0.00133693,0.00133693,0.00133693
12,610.366,2.34595,2.46769,2.14995,0.38181,0.35784,0.3139,0.10771,2.09267,2.43355,2.01504,0.00130393,0.00130393,0.00130393
13,660.807,2.32894,2.38304,2.1567,0.36296,0.31567,0.26776,0.09764,2.04759,2.2008,2.00319,0.00127092,0.00127092,0.00127092
14,711.733,2.27692,2.32393,2.11406,0.42043,0.37407,0.3532,0.13169,1.99247,2.46819,1.90744,0.00123791,0.00123791,0.00123791
15,761.693,2.26337,2.32716,2.09421,0.43321,0.40907,0.3944,0.16192,1.95024,2.29882,1.92127,0.00120491,0.00120491,0.00120491
16,810.403,2.20687,2.35069,2.04399,0.43833,0.36463,0.37407,0.15117,1.91839,2.27297,1.86809,0.0011719,0.0011719,0.0011719
17,861.452,2.22042,2.25611,2.04315,0.36696,0.35362,0.31932,0.13157,1.89159,2.40988,1.86762,0.00113889,0.00113889,0.00113889
