elbow_angle1,shoulder_angle1,hip_angle1,knee_angle1,head_y1,hip_y1,ankle_y1,elbow_angle2,shoulder_angle2,hip_angle2,knee_angle2,head_y2,hip_y2,ankle_y2,elbow_angle3,shoulder_angle3,hip_angle3,knee_angle3,head_y3,hip_y3,ankle_y3,elbow_angle4,shoulder_angle4,hip_angle4,knee_angle4,head_y4,hip_y4,ankle_y4,elbow_angle5,shoulder_angle5,hip_angle5,knee_angle5,head_y5,hip_y5,ankle_y5,label
40.59137283,110.0407259,11.13162668,5.180301541,0.039814815,0.398148148,0.718518519,32.86986076,113.8184017,11.6115145,1.565194342,0.075,0.398148148,0.710185185,37.20757765,115.3639381,5.394708418,4.535657363,0.049074074,0.412037037,0.714814815,42.0722218,114.2115786,114.0687233,4.24128118,0.048148148,0.42037037,0.718518519,45.44308762,112.9462194,23.92591864,4.128490231,0.036111111,0.411111111,0.712037037,0
32.86986076,113.8184017,11.6115145,1.565194342,0.075,0.398148148,0.710185185,37.20757765,115.3639381,5.394708418,4.535657363,0.049074074,0.412037037,0.714814815,42.0722218,114.2115786,114.0687233,4.24128118,0.048148148,0.42037037,0.718518519,45.44308762,112.9462194,23.92591864,4.128490231,0.036111111,0.411111111,0.712037037,54.09050081,111.3696714,16.4625793,4.141874859,0.02962963,0.409259259,0.705555556,0
37.20757765,115.3639381,5.394708418,4.535657363,0.049074074,0.412037037,0.714814815,42.0722218,114.2115786,114.0687233,4.24128118,0.048148148,0.42037037,0.718518519,45.44308762,112.9462194,23.92591864,4.128490231,0.036111111,0.411111111,0.712037037,54.09050081,111.3696714,16.4625793,4.141874859,0.02962963,0.409259259,0.705555556,83.86065425,99.69536286,26.00567522,6.540730567,0.078703704,0.4,0.721296296,0
42.0722218,114.2115786,114.0687233,4.24128118,0.048148148,0.42037037,0.718518519,45.44308762,112.9462194,23.92591864,4.128490231,0.036111111,0.411111111,0.712037037,54.09050081,111.3696714,16.4625793,4.141874859,0.02962963,0.409259259,0.705555556,83.86065425,99.69536286,26.00567522,6.540730567,0.078703704,0.4,0.721296296,91.94148639,94.52276531,43.48167914,5.118237756,0.078703704,0.4,0.730555556,0
45.44308762,112.9462194,23.92591864,4.128490231,0.036111111,0.411111111,0.712037037,54.09050081,111.3696714,16.4625793,4.141874859,0.02962963,0.409259259,0.705555556,83.86065425,99.69536286,26.00567522,6.540730567,0.078703704,0.4,0.721296296,91.94148639,94.52276531,43.48167914,5.118237756,0.078703704,0.4,0.730555556,98.43061424,90.63907957,37.07169717,6.367909818,0.075,0.391666667,0.709259259,0
54.09050081,111.3696714,16.4625793,4.141874859,0.02962963,0.409259259,0.705555556,83.86065425,99.69536286,26.00567522,6.540730567,0.078703704,0.4,0.721296296,91.94148639,94.52276531,43.48167914,5.118237756,0.078703704,0.4,0.730555556,98.43061424,90.63907957,37.07169717,6.367909818,0.075,0.391666667,0.709259259,105.4006063,85.68728936,41.65349742,5.709529011,0.073148148,0.390740741,0.718518519,0
83.86065425,99.69536286,26.00567522,6.540730567,0.078703704,0.4,0.721296296,91.94148639,94.52276531,43.48167914,5.118237756,0.078703704,0.4,0.730555556,98.43061424,90.63907957,37.07169717,6.367909818,0.075,0.391666667,0.709259259,105.4006063,85.68728936,41.65349742,5.709529011,0.073148148,0.390740741,0.718518519,113.1906928,82.17092349,35.66500154,6.113433144,0.067592593,0.384259259,0.709259259,0
91.94148639,94.52276531,43.48167914,5.118237756,0.078703704,0.4,0.730555556,98.43061424,90.63907957,37.07169717,6.367909818,0.075,0.391666667,0.709259259,105.4006063,85.68728936,41.65349742,5.709529011,0.073148148,0.390740741,0.718518519,113.1906928,82.17092349,35.66500154,6.113433144,0.067592593,0.384259259,0.709259259,118.7874256,77.31440511,22.90630551,5.16713089,0.061111111,0.376851852,0.69537037,0
98.43061424,90.63907957,37.07169717,6.367909818,0.075,0.391666667,0.709259259,105.4006063,85.68728936,41.65349742,5.709529011,0.073148148,0.390740741,0.718518519,113.1906928,82.17092349,35.66500154,6.113433144,0.067592593,0.384259259,0.709259259,118.7874256,77.31440511,22.90630551,5.16713089,0.061111111,0.376851852,0.69537037,124.1861225,75.46125443,16.55610888,6.550224211,0.053703704,0.373148148,0.694444444,0
105.4006063,85.68728936,41.65349742,5.709529011,0.073148148,0.390740741,0.718518519,113.1906928,82.17092349,35.66500154,6.113433144,0.067592593,0.384259259,0.709259259,118.7874256,77.31440511,22.90630551,5.16713089,0.061111111,0.376851852,0.69537037,124.1861225,75.46125443,16.55610888,6.550224211,0.053703704,0.373148148,0.694444444,133.257616,68.4444576,12.36950089,5.129368038,0.044444444,0.366666667,0.70462963,0
113.1906928,82.17092349,35.66500154,6.113433144,0.067592593,0.384259259,0.709259259,118.7874256,77.31440511,22.90630551,5.16713089,0.061111111,0.376851852,0.69537037,124.1861225,75.46125443,16.55610888,6.550224211,0.053703704,0.373148148,0.694444444,133.257616,68.4444576,12.36950089,5.129368038,0.044444444,0.366666667,0.70462963,138.500611,64.76329679,1.062779207,11.64927924,0.038888889,0.356481481,0.684259259,0
118.7874256,77.31440511,22.90630551,5.16713089,0.061111111,0.376851852,0.69537037,124.1861225,75.46125443,16.55610888,6.550224211,0.053703704,0.373148148,0.694444444,133.257616,68.4444576,12.36950089,5.129368038,0.044444444,0.366666667,0.70462963,138.500611,64.76329679,1.062779207,11.64927924,0.038888889,0.356481481,0.684259259,141.6277033,58.57898176,7.018442306,4.550524531,0.033333333,0.358333333,0.683333333,0
124.1861225,75.46125443,16.55610888,6.550224211,0.053703704,0.373148148,0.694444444,133.257616,68.4444576,12.36950089,5.129368038,0.044444444,0.366666667,0.70462963,138.500611,64.76329679,1.062779207,11.64927924,0.038888889,0.356481481,0.684259259,141.6277033,58.57898176,7.018442306,4.550524531,0.033333333,0.358333333,0.683333333,147.145743,60.26975026,2.048729561,5.907300197,0.030555556,0.349074074,0.672222222,0
133.257616,68.4444576,12.36950089,5.129368038,0.044444444,0.366666667,0.70462963,138.500611,64.76329679,1.062779207,11.64927924,0.038888889,0.356481481,0.684259259,141.6277033,58.57898176,7.018442306,4.550524531,0.033333333,0.358333333,0.683333333,147.145743,60.26975026,2.048729561,5.907300197,0.030555556,0.349074074,0.672222222,150.5411418,64.32521378,1.742723583,7.821933552,0.02962963,0.340740741,0.672222222,0
138.500611,64.76329679,1.062779207,11.64927924,0.038888889,0.356481481,0.684259259,141.6277033,58.57898176,7.018442306,4.550524531,0.033333333,0.358333333,0.683333333,147.145743,60.26975026,2.048729561,5.907300197,0.030555556,0.349074074,0.672222222,150.5411418,64.32521378,1.742723583,7.821933552,0.02962963,0.340740741,0.672222222,147.5576251,69.44984734,6.315634606,11.30594824,0.036111111,0.339814815,0.663888889,0
141.6277033,58.57898176,7.018442306,4.550524531,0.033333333,0.358333333,0.683333333,147.145743,60.26975026,2.048729561,5.907300197,0.030555556,0.349074074,0.672222222,150.5411418,64.32521378,1.742723583,7.821933552,0.02962963,0.340740741,0.672222222,147.5576251,69.44984734,6.315634606,11.30594824,0.036111111,0.339814815,0.663888889,152.0834936,81.20073871,2.157758763,10.69017483,0.039814815,0.337037037,0.664814815,0
147.145743,60.26975026,2.048729561,5.907300197,0.030555556,0.349074074,0.672222222,150.5411418,64.32521378,1.742723583,7.821933552,0.02962963,0.340740741,0.672222222,147.5576251,69.44984734,6.315634606,11.30594824,0.036111111,0.339814815,0.663888889,152.0834936,81.20073871,2.157758763,10.69017483,0.039814815,0.337037037,0.664814815,148.2394921,81.02659802,4.462098366,9.809036922,0.04537037,0.343518519,0.687962963,0
150.5411418,64.32521378,1.742723583,7.821933552,0.02962963,0.340740741,0.672222222,147.5576251,69.44984734,6.315634606,11.30594824,0.036111111,0.339814815,0.663888889,152.0834936,81.20073871,2.157758763,10.69017483,0.039814815,0.337037037,0.664814815,148.2394921,81.02659802,4.462098366,9.809036922,0.04537037,0.343518519,0.687962963,145.9577871,80.8323952,1.192823978,8.755593937,0.047222222,0.337037037,0.666666667,0
147.5576251,69.44984734,6.315634606,11.30594824,0.036111111,0.339814815,0.663888889,152.0834936,81.20073871,2.157758763,10.69017483,0.039814815,0.337037037,0.664814815,148.2394921,81.02659802,4.462098366,9.809036922,0.04537037,0.343518519,0.687962963,145.9577871,80.8323952,1.192823978,8.755593937,0.047222222,0.337037037,0.666666667,155.3493779,82.08474964,2.914109942,11.90023406,0.060185185,0.343518519,0.689814815,0
152.0834936,81.20073871,2.157758763,10.69017483,0.039814815,0.337037037,0.664814815,148.2394921,81.02659802,4.462098366,9.809036922,0.04537037,0.343518519,0.687962963,145.9577871,80.8323952,1.192823978,8.755593937,0.047222222,0.337037037,0.666666667,155.3493779,82.08474964,2.914109942,11.90023406,0.060185185,0.343518519,0.689814815,139.3640796,83.43150072,5.245583937,11.5237217,0.060185185,0.339814815,0.67037037,0
148.2394921,81.02659802,4.462098366,9.809036922,0.04537037,0.343518519,0.687962963,145.9577871,80.8323952,1.192823978,8.755593937,0.047222222,0.337037037,0.666666667,155.3493779,82.08474964,2.914109942,11.90023406,0.060185185,0.343518519,0.689814815,139.3640796,83.43150072,5.245583937,11.5237217,0.060185185,0.339814815,0.67037037,129.1704831,82.73188927,4.1779472,11.16714943,0.066666667,0.337037037,0.690740741,0
145.9577871,80.8323952,1.192823978,8.755593937,0.047222222,0.337037037,0.666666667,155.3493779,82.08474964,2.914109942,11.90023406,0.060185185,0.343518519,0.689814815,139.3640796,83.43150072,5.245583937,11.5237217,0.060185185,0.339814815,0.67037037,129.1704831,82.73188927,4.1779472,11.16714943,0.066666667,0.337037037,0.690740741,121.9900982,80.72746391,3.066247115,13.24152537,0.07037037,0.340740741,0.673148148,0
